indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Inward foreign direct investment,K02000001,United Kingdom,Country,1032534,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,K02000001,United Kingdom,Country,2002355,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,K02000001,United Kingdom,Country,1919232,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,K02000001,United Kingdom,Country,1640641,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,K02000001,United Kingdom,Country,1572819,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,K02000001,United Kingdom,Country,1392497,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,K02000001,United Kingdom,Country,1187303,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,87535,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,87590,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,176852,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,79168,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,143348,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,31485,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,K99000001,UK not allocated,ITL Level 1,185836,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,877376,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,958009,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,1123276,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,1272877,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,1336067,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,1708237,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLB,England,ITL Level 1,1796063,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,30640,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,27934,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,23162,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,17231,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,23311,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,15280,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLC,North East,ITL Level 1,24261,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,6083,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,5929,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,13050,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,12828,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,10653,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,7812,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLC1,Tees Valley and Durham,ITL Level 2,7448,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,5549,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,6006,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,8725,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,9882,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,4587,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,4423,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000006,Tees Valley,Combined Authority or City Region,9740,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,9197,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,11303,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,10261,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,11433,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,12510,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,22828,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLC2,"Northumberland, and Tyne and Wear",ITL Level 2,20486,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,5800,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,5313,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,4691,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,5820,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,3240,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,4099,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000011,North of Tyne,Combined Authority or City Region,3067,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,68719,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,80451,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,90384,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,80222,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,77556,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,94029,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLD,North West,ITL Level 1,122856,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLD1,Cumbria,ITL Level 2,5245,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLD1,Cumbria,ITL Level 2,4630,£ million,Pounds,2021-01-01/P1Y,,,
