AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
K02000001,United Kingdom,Country,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.94,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
K03000001,Great Britain,Country,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.94,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
K04000001,England and Wales,Country,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.56,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E92000001,England,Nation,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.45,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E12000001,North East,Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.97,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E47000006,Tees Valley,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.51,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E47000014,North East,Combined Authority or City Region,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.47,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E06000047,County Durham,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.45,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000005,Darlington,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.86,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000001,Hartlepool,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.33,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000002,Middlesbrough,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.78,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000057,Northumberland,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,13.73,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000003,Redcar and Cleveland,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.39,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E06000004,Stockton-on-Tees,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,0.51,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000037,Gateshead,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.02,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000021,Newcastle upon Tyne,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.0,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000022,North Tyneside,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.91,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000023,South Tyneside,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.71,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
