AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
s92000003,scotland,nation,apprenticeships-starts-scotland,573.4411299,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,555.0544511,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,551.9644079,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,558.6399629,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,413.6893819,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,618.8029521,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,562.0507229,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,606.1251576,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,588.3229257,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,581.0684836,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,570.6687088,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s92000003,scotland,nation,apprenticeships-starts-scotland,608.1256017,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,250.6345515,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,417.0771069,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,390.8787961,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,367.5944808,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,380.8735919,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,432.6958812,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,456.1631381,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,353.8663864,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,345.2304243,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,478.5360957,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,475.5109269,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000033,aberdeen-city,local-authority-district,apprenticeships-starts-scotland,398.7058052,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,381.5610169,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,532.6508985,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,509.049512,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,537.0100248,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,465.1856548,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,540.4315008,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,504.4224293,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,462.343067,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,470.5564761,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,588.3816921,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,598.2243484,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000034,aberdeenshire,local-authority-district,apprenticeships-starts-scotland,490.3361167,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,636.1586362,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,670.2939777,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,600.5663372,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,610.1350791,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,444.5136833,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,638.7097442,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,639.3927831,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,629.6555414,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,660.2795149,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,641.0322474,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,692.0343531,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000041,angus,local-authority-district,apprenticeships-starts-scotland,611.8012422,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,373.7463365,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,505.0304211,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,512.9836561,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,385.8853483,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,367.7300304,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,520.1333262,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,445.1633602,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,545.9314789,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,441.981573,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,395.4411099,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000035,argyll-and-bute,local-authority-district,apprenticeships-starts-scotland,530.5110858,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
