AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2022,1.763332027,"Rate per 100,000 population","Rate per 100,000 population",24.68129956,28.96306951,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2001,5.374690888,"Rate per 100,000 population","Rate per 100,000 population",67.28412049,71.52318386,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2002,5.291540875,"Rate per 100,000 population","Rate per 100,000 population",66.98153646,71.22059983,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2003,4.591166729,"Rate per 100,000 population","Rate per 100,000 population",58.43873797,62.67780133,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2004,4.51689804,"Rate per 100,000 population","Rate per 100,000 population",58.08145955,62.32052292,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2005,4.017748244,"Rate per 100,000 population","Rate per 100,000 population",52.07840556,56.31746893,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2006,3.764447147,"Rate per 100,000 population","Rate per 100,000 population",49.30146114,53.54052451,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2008,3.22751865,"Rate per 100,000 population","Rate per 100,000 population",43.08725697,47.32632034,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2009,2.984829279,"Rate per 100,000 population","Rate per 100,000 population",40.08037269,44.31943606,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2010,2.917017893,"Rate per 100,000 population","Rate per 100,000 population",39.44429786,43.68336122,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2011,2.590065937,"Rate per 100,000 population","Rate per 100,000 population",35.00937433,39.24843769,,1,
n92000002,northern-ireland,nation,"Under 75 mortality rate from circulatory diseases considered preventable (per 100,000 population) (Northern Ireland)",Circulatory mortality considered preventable in persons aged under 75 (Northern Ireland),Mission 7,Spreading opportunity and improving public services,2007,3.502490305,"Rate per 100,000 population","Rate per 100,000 population",46.37629933,50.6153627,,1,
