Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2011,2011,2011,,0,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,1,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,2,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,3,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,4,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,5,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,6,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,7,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,8,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,9,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,10,,http://reference.data.gov.uk/id/year/2021
