Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
avon-and-somerset,Avon and Somerset,avon-and-somerset,,0,
bedfordshire,Bedfordshire,bedfordshire,,1,
cambridgeshire,Cambridgeshire,cambridgeshire,,2,
cheshire,Cheshire,cheshire,,3,
cleveland,Cleveland,cleveland,,4,
cumbria,Cumbria,cumbria,,5,
derbyshire,Derbyshire,derbyshire,,6,
devon-and-cornwall,Devon and Cornwall,devon-and-cornwall,,7,
dorset,Dorset,dorset,,8,
durham,Durham,durham,,9,
dyfed-powys,Dyfed-Powys,dyfed-powys,,10,
east-midlands,East Midlands,east-midlands,,11,
east-of-england,East of England,east-of-england,,12,
england,England,england,,13,
england-and-wales,England and Wales,england-and-wales,,14,
essex,Essex,essex,,15,
gloucestershire,Gloucestershire,gloucestershire,,16,
greater-manchester,Greater Manchester,greater-manchester,,17,
gwent,Gwent,gwent,,18,
hampshire,Hampshire,hampshire,,19,
hertfordshire,Hertfordshire,hertfordshire,,20,
humberside,Humberside,humberside,,21,
kent,Kent,kent,,22,
lancashire,Lancashire,lancashire,,23,
leicestershire,Leicestershire,leicestershire,,24,
lincolnshire,Lincolnshire,lincolnshire,,25,
london,London,london,,26,
london-city-of,"London, City of",london-city-of,,27,
merseyside,Merseyside,merseyside,,28,
metropolitan-police,Metropolitan Police,metropolitan-police,,29,
norfolk,Norfolk,norfolk,,30,
north-east,North East,north-east,,31,
north-wales,North Wales,north-wales,,32,
north-west,North West ,north-west,,33,
north-yorkshire,North Yorkshire,north-yorkshire,,34,
northamptonshire,Northamptonshire,northamptonshire,,35,
northumbria,Northumbria,northumbria,,36,
nottinghamshire,Nottinghamshire,nottinghamshire,,37,
south-east,South East,south-east,,38,
south-wales,South Wales,south-wales,,39,
south-west,South West,south-west,,40,
south-yorkshire,South Yorkshire,south-yorkshire,,41,
staffordshire,Staffordshire,staffordshire,,42,
suffolk,Suffolk,suffolk,,43,
surrey,Surrey,surrey,,44,
sussex,Sussex,sussex,,45,
thames-valley,Thames Valley,thames-valley,,46,
wales,Wales,wales,,47,
warwickshire,Warwickshire,warwickshire,,48,
west-mercia,West Mercia,west-mercia,,49,
west-midlands,West Midlands,west-midlands,,50,
west-yorkshire,West Yorkshire,west-yorkshire,,51,
wiltshire,Wiltshire,wiltshire,,52,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,53,
