AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k04000001,england-and-wales,country,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.16149307,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e92000001,england,nation,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.2514884,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000001,north-east,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.78463621,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000013,cleveland,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,15.79252136,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000008,durham,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,6.843232596,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000007,northumbria,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.53849414,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000002,north-west,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,11.66033962,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000006,cheshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,4.593184694,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000002,cumbria,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,8.658452681,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000005,greater-manchester,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,14.44369637,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000003,lancashire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.91867791,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000004,merseyside,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,13.31605828,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000003,yorkshire-and-the-humber,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.67364529,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000012,humberside,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,9.971776312,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000009,north-yorkshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,7.279609813,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000011,south-yorkshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,13.21029981,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000010,west-yorkshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.6455323,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000004,east-midlands,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,9.298655093,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000018,derbyshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,8.490664828,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000021,leicestershire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,9.260534381,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000020,lincolnshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,12.14602471,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000022,northamptonshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.29659779,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000019,nottinghamshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,7.509847287,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000005,west-midlands,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,13.15023064,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000015,staffordshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,9.966056783,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000017,warwickshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.10048864,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000016,west-mercia,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,14.59836816,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000014,west-midlands,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,14.36357234,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000006,east-of-england,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,9.280080365,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000026,bedfordshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,13.36791805,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000023,cambridgeshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.17584616,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000028,essex,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,10.57014464,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000027,hertfordshire,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,5.282308825,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000024,norfolk,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,8.361273924,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000025,suffolk,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,8.741274023,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000007,london,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,14.06240036,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e23000034,london-city-of,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,c,-1,
e23000001,metropolitan-police,police-force-area,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,14.03967318,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
e12000008,south-east,region,Homicide Offences (rate per million population) (England and Wales),Homicide Offences (England and Wales),Mission 11,"Restoring a sense of community, local pride and belonging",2020-04-01t00-00-00/p3y,5.970082478,"Rate of offences per 1,000,000 population","Rate per 1,000,000 population",,,,-1,
