Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
e12000001,E12000001,e12000001,,0,,http://statistics.data.gov.uk/id/statistical-geography/E12000001
e12000002,E12000002,e12000002,,1,,http://statistics.data.gov.uk/id/statistical-geography/E12000002
e12000003,E12000003,e12000003,,2,,http://statistics.data.gov.uk/id/statistical-geography/E12000003
e12000004,E12000004,e12000004,,3,,http://statistics.data.gov.uk/id/statistical-geography/E12000004
e12000005,E12000005,e12000005,,4,,http://statistics.data.gov.uk/id/statistical-geography/E12000005
e12000006,E12000006,e12000006,,5,,http://statistics.data.gov.uk/id/statistical-geography/E12000006
e12000007,E12000007,e12000007,,6,,http://statistics.data.gov.uk/id/statistical-geography/E12000007
e12000008,E12000008,e12000008,,7,,http://statistics.data.gov.uk/id/statistical-geography/E12000008
e12000009,E12000009,e12000009,,8,,http://statistics.data.gov.uk/id/statistical-geography/E12000009
e23000001,E23000001,e23000001,,9,,http://statistics.data.gov.uk/id/statistical-geography/E23000001
e23000002,E23000002,e23000002,,10,,http://statistics.data.gov.uk/id/statistical-geography/E23000002
e23000003,E23000003,e23000003,,11,,http://statistics.data.gov.uk/id/statistical-geography/E23000003
e23000004,E23000004,e23000004,,12,,http://statistics.data.gov.uk/id/statistical-geography/E23000004
e23000005,E23000005,e23000005,,13,,http://statistics.data.gov.uk/id/statistical-geography/E23000005
e23000006,E23000006,e23000006,,14,,http://statistics.data.gov.uk/id/statistical-geography/E23000006
e23000007,E23000007,e23000007,,15,,http://statistics.data.gov.uk/id/statistical-geography/E23000007
e23000008,E23000008,e23000008,,16,,http://statistics.data.gov.uk/id/statistical-geography/E23000008
e23000009,E23000009,e23000009,,17,,http://statistics.data.gov.uk/id/statistical-geography/E23000009
e23000010,E23000010,e23000010,,18,,http://statistics.data.gov.uk/id/statistical-geography/E23000010
e23000011,E23000011,e23000011,,19,,http://statistics.data.gov.uk/id/statistical-geography/E23000011
e23000012,E23000012,e23000012,,20,,http://statistics.data.gov.uk/id/statistical-geography/E23000012
e23000013,E23000013,e23000013,,21,,http://statistics.data.gov.uk/id/statistical-geography/E23000013
e23000014,E23000014,e23000014,,22,,http://statistics.data.gov.uk/id/statistical-geography/E23000014
e23000015,E23000015,e23000015,,23,,http://statistics.data.gov.uk/id/statistical-geography/E23000015
e23000016,E23000016,e23000016,,24,,http://statistics.data.gov.uk/id/statistical-geography/E23000016
e23000017,E23000017,e23000017,,25,,http://statistics.data.gov.uk/id/statistical-geography/E23000017
e23000018,E23000018,e23000018,,26,,http://statistics.data.gov.uk/id/statistical-geography/E23000018
e23000019,E23000019,e23000019,,27,,http://statistics.data.gov.uk/id/statistical-geography/E23000019
e23000020,E23000020,e23000020,,28,,http://statistics.data.gov.uk/id/statistical-geography/E23000020
e23000021,E23000021,e23000021,,29,,http://statistics.data.gov.uk/id/statistical-geography/E23000021
e23000022,E23000022,e23000022,,30,,http://statistics.data.gov.uk/id/statistical-geography/E23000022
e23000023,E23000023,e23000023,,31,,http://statistics.data.gov.uk/id/statistical-geography/E23000023
e23000024,E23000024,e23000024,,32,,http://statistics.data.gov.uk/id/statistical-geography/E23000024
e23000025,E23000025,e23000025,,33,,http://statistics.data.gov.uk/id/statistical-geography/E23000025
e23000026,E23000026,e23000026,,34,,http://statistics.data.gov.uk/id/statistical-geography/E23000026
e23000027,E23000027,e23000027,,35,,http://statistics.data.gov.uk/id/statistical-geography/E23000027
e23000028,E23000028,e23000028,,36,,http://statistics.data.gov.uk/id/statistical-geography/E23000028
e23000029,E23000029,e23000029,,37,,http://statistics.data.gov.uk/id/statistical-geography/E23000029
e23000030,E23000030,e23000030,,38,,http://statistics.data.gov.uk/id/statistical-geography/E23000030
e23000031,E23000031,e23000031,,39,,http://statistics.data.gov.uk/id/statistical-geography/E23000031
e23000032,E23000032,e23000032,,40,,http://statistics.data.gov.uk/id/statistical-geography/E23000032
e23000033,E23000033,e23000033,,41,,http://statistics.data.gov.uk/id/statistical-geography/E23000033
e23000034,E23000034,e23000034,,42,,http://statistics.data.gov.uk/id/statistical-geography/E23000034
e23000035,E23000035,e23000035,,43,,http://statistics.data.gov.uk/id/statistical-geography/E23000035
e23000036,E23000036,e23000036,,44,,http://statistics.data.gov.uk/id/statistical-geography/E23000036
e23000037,E23000037,e23000037,,45,,http://statistics.data.gov.uk/id/statistical-geography/E23000037
e23000038,E23000038,e23000038,,46,,http://statistics.data.gov.uk/id/statistical-geography/E23000038
e23000039,E23000039,e23000039,,47,,http://statistics.data.gov.uk/id/statistical-geography/E23000039
e92000001,E92000001,e92000001,,48,,http://statistics.data.gov.uk/id/statistical-geography/E92000001
k04000001,K04000001,k04000001,,49,,http://statistics.data.gov.uk/id/statistical-geography/K04000001
n92000002,N92000002,n92000002,,50,,http://statistics.data.gov.uk/id/statistical-geography/N92000002
w15000001,W15000001,w15000001,,51,,http://statistics.data.gov.uk/id/statistical-geography/W15000001
w15000002,W15000002,w15000002,,52,,http://statistics.data.gov.uk/id/statistical-geography/W15000002
w15000003,W15000003,w15000003,,53,,http://statistics.data.gov.uk/id/statistical-geography/W15000003
w15000004,W15000004,w15000004,,54,,http://statistics.data.gov.uk/id/statistical-geography/W15000004
w92000004,W92000004,w92000004,,55,,http://statistics.data.gov.uk/id/statistical-geography/W92000004
