AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e92000001,england,nation,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.41371428571428,Percentage,%,,,,1,
e12000001,north-east,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.2874671340929,Percentage,%,,,,1,
e06000047,county-durham,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.73384030418251,Percentage,%,,,,1,
e06000005,darlington,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.47619047619048,Percentage,%,,,,1,
e06000001,hartlepool,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.10526315789473,Percentage,%,,,,1,
e06000002,middlesbrough,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,92.98245614035088,Percentage,%,,,,1,
e06000057,northumberland,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,93.93939393939397,Percentage,%,,,,1,
e06000003,redcar-and-cleveland,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.82758620689656,Percentage,%,,,,1,
e06000004,stockton-on-tees,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,94.87179487179488,Percentage,%,,,,1,
e08000037,gateshead,local-authority-district,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,95.23809523809524,Percentage,%,,,,1,
