AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
k02000001,united-kingdom,country,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.7,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
k03000001,great-britain,country,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.68,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
k04000001,england-and-wales,country,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.62,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
e92000001,england,nation,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.6,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
e12000001,north-east,region,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.89,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
e47000006,tees-valley,combined-authority-or-city-region,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,3.2,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
e47000014,north-east,combined-authority-or-city-region,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.79,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
e06000047,county-durham,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,3.14,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e06000005,darlington,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.97,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e06000001,hartlepool,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,3.47,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e06000002,middlesbrough,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,3.2,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e06000057,northumberland,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,3.34,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e06000003,redcar-and-cleveland,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,3.59,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e06000004,stockton-on-tees,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.95,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e08000037,gateshead,local-authority-district,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.45,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e08000021,newcastle-upon-tyne,local-authority-district,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.67,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e08000022,north-tyneside,local-authority-district,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.3,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e08000023,south-tyneside,local-authority-district,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.5,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e08000024,sunderland,local-authority-district,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.37,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
e12000002,north-west,region,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.64,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,This data was aggregated and may show differences to other published figures
e06000008,blackburn-with-darwen,county-or-unitary-authority,"Chain supermarkets per 10,000 population","Chain supermarkets per 10,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2023-08,2.0,"Counts of chain supermarkets per 10,000 people","Count per 10,000 people",,,,1,
