Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
e13000001,E13000001,e13000001,,0,,http://statistics.data.gov.uk/id/statistical-geography/E13000001
e13000002,E13000002,e13000002,,1,,http://statistics.data.gov.uk/id/statistical-geography/E13000002
e47000001,E47000001,e47000001,,2,,http://statistics.data.gov.uk/id/statistical-geography/E47000001
e47000002,E47000002,e47000002,,3,,http://statistics.data.gov.uk/id/statistical-geography/E47000002
e47000003,E47000003,e47000003,,4,,http://statistics.data.gov.uk/id/statistical-geography/E47000003
e47000004,E47000004,e47000004,,5,,http://statistics.data.gov.uk/id/statistical-geography/E47000004
e47000006,E47000006,e47000006,,6,,http://statistics.data.gov.uk/id/statistical-geography/E47000006
e47000007,E47000007,e47000007,,7,,http://statistics.data.gov.uk/id/statistical-geography/E47000007
e47000008,E47000008,e47000008,,8,,http://statistics.data.gov.uk/id/statistical-geography/E47000008
e47000009,E47000009,e47000009,,9,,http://statistics.data.gov.uk/id/statistical-geography/E47000009
e47000011,E47000011,e47000011,,10,,http://statistics.data.gov.uk/id/statistical-geography/E47000011
e92000001,E92000001,e92000001,,11,,http://statistics.data.gov.uk/id/statistical-geography/E92000001
k02000001,K02000001,k02000001,,12,,http://statistics.data.gov.uk/id/statistical-geography/K02000001
n34000001,N34000001,n34000001,,13,,http://statistics.data.gov.uk/id/statistical-geography/N34000001
tlc,TLC,tlc,,14,,http://statistics.data.gov.uk/id/statistical-geography/TLC
tlc1,TLC1,tlc1,,15,,http://statistics.data.gov.uk/id/statistical-geography/TLC1
tlc11,TLC11,tlc11,,16,,http://statistics.data.gov.uk/id/statistical-geography/TLC11
tlc12,TLC12,tlc12,,17,,http://statistics.data.gov.uk/id/statistical-geography/TLC12
tlc13,TLC13,tlc13,,18,,http://statistics.data.gov.uk/id/statistical-geography/TLC13
tlc14,TLC14,tlc14,,19,,http://statistics.data.gov.uk/id/statistical-geography/TLC14
tlc2,TLC2,tlc2,,20,,http://statistics.data.gov.uk/id/statistical-geography/TLC2
tlc21,TLC21,tlc21,,21,,http://statistics.data.gov.uk/id/statistical-geography/TLC21
tlc22,TLC22,tlc22,,22,,http://statistics.data.gov.uk/id/statistical-geography/TLC22
